"date","load"
"2011-01-01",4290
"2011-01-02",4715
"2011-01-03",4935
"2011-01-04",4816
"2011-01-05",4788
"2011-01-06",4800
"2011-01-07",4800
"2011-01-08",4927
"2011-01-09",5118
"2011-01-10",5114
"2011-01-11",4980
"2011-01-12",4941
"2011-01-13",4942
"2011-01-14",4932
"2011-01-15",5050
"2011-01-16",5235
"2011-01-17",5219
"2011-01-18",5070
"2011-01-19",5019
"2011-01-20",5009
"2011-01-21",4986
"2011-01-22",5094
"2011-01-23",5267
"2011-01-24",5239
"2011-01-25",5078
"2011-01-26",5014
"2011-01-27",4992
"2011-01-28",4958
"2011-01-29",5053
"2011-01-30",5213
"2011-01-31",5172
"2011-02-01",5002
"2011-02-02",4927
"2011-02-03",4894
"2011-02-04",4849
"2011-02-05",4932
"2011-02-06",5076
"2011-02-07",5025
"2011-02-08",4849
"2011-02-09",4767
"2011-02-10",4725
"2011-02-11",4672
"2011-02-12",4742
"2011-02-13",4871
"2011-02-14",4814
"2011-02-15",4636
"2011-02-16",4549
"2011-02-17",4502
"2011-02-18",4444
"2011-02-19",4503
"2011-02-20",4618
"2011-02-21",4556
"2011-02-22",4382
"2011-02-23",4294
"2011-02-24",4243
"2011-02-25",4183
"2011-02-26",4234
"2011-02-27",4337
"2011-02-28",4275
