"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2010.0027",5696.50525444088,5129.18250821864,6263.82800066312,4828.85998748401,6564.15052139776
"2010.0055",5448.63788609516,4646.36254344055,6250.91322874977,4221.66363116585,6675.61214102446
"2010.0082",5138.88240451151,4156.31619682776,6121.44861219525,3636.17706571551,6641.5877433075
"2010.0110",4624.72122170871,3490.16096348861,5759.2814799288,2889.56104229222,6359.88140112519
"2010.0137",4113.32215473429,2844.8515769979,5381.79273247067,2173.36381466116,6053.28049480742
"2010.0164",4104.61694845988,2715.081690313,5494.15220660675,1979.50615741722,6229.72773950253
"2010.0192",3720.67899376615,2219.8129568782,5221.54503065409,1425.30246970901,6016.05551782328
"2010.0219",4614.84228834413,3010.35187461952,6219.33270206874,2160.98595591975,7068.69862076852
"2010.0247",4793.31100417463,3091.49429407198,6495.12771427727,2190.60694624451,7396.01506210475
"2010.0274",4556.31513043729,2762.44480573847,6350.1854551361,1812.82721791561,7299.80304295897
"2010.0301",4023.95458834889,2142.52923269817,5905.37994399962,1146.56281121127,6901.34636548652
"2010.0329",4274.95859926823,2309.875395957,6240.04180257945,1269.62318502144,7280.29401351501
"2010.0356",4301.07341545315,2255.75128361515,6346.39554729115,1173.02314969453,7429.12368121176
"2010.0384",5147.24464588441,3024.71472853654,7269.77456323228,1901.11526181803,8393.37402995079
"2010.0411",5701.67902107119,3504.65287714682,7898.70516499557,2341.61749022301,9061.74055191938
"2010.0438",6084.69533885601,3815.61744152908,8353.77323618295,2614.44016033203,9554.95051737999
"2010.0466",6304.36371020199,3965.45261073967,8643.27480966432,2727.30786536826,9881.41955503573
"2010.0493",5952.36346396056,3545.64458585317,8359.08234206795,2271.6045707368,9633.12235718432
"2010.0521",5911.20805448614,3438.54018651662,8383.87592245566,2129.58888499902,9692.82722397326
"2010.0548",6310.43514530704,3773.53210964735,8847.33818096674,2430.57676438395,10190.2935262301
"2010.0575",5747.83714548925,3148.28571507096,8347.38857590754,1772.16631291196,9723.50797806654
"2010.0603",5923.69990921425,3262.97477000121,8584.42504842728,1854.47196254028,9992.92785588822
"2010.0630",5637.88689774916,2917.36325449762,8358.41054100071,1477.20503115817,9798.56876434015
"2010.0658",5727.57262051452,2948.53690276257,8506.60833826647,1477.4042582063,9977.74098282274
"2010.0685",6310.41517623323,3474.07419750879,9146.75615495767,1972.60598022743,10648.224372239
"2010.0712",5897.03205004489,3004.52089628213,8789.54320380764,1473.31798447294,10320.7461156168
"2010.0740",5611.76964567674,2664.1585109284,8559.38078042507,1103.7874311016,10119.7518602519
"2010.0767",5058.59679743546,2056.89694089703,8060.29665397389,467.893021333977,9649.30057353694
"2010.0795",5226.29217609796,2171.46114054243,8281.12321165348,554.331273768074,9898.25307842784
"2010.0822",5734.81099660749,2627.75720195834,8841.86479125664,982.982276431889,10486.6397167831
"2010.0849",5676.20005808757,2517.78686315976,8834.61325301538,845.823913430472,10506.5762027447
"2010.0877",5070.81454901015,1861.86385806076,8279.76523995953,163.147973960551,9978.48112405974
"2010.0904",4728.21017752434,1469.50565517271,7986.91469987597,-255.548316307964,9711.96867135665
"2010.0932",4677.3776355017,1369.66758305674,7985.08768794665,-381.328349019672,9736.08362002307
"2010.0959",4960.48228146885,1604.48221917806,8316.48234375965,-172.076899955067,10093.0414628928
"2010.0986",6120.84045168264,2717.23544446658,9524.44545889871,915.475789739579,11326.2051136257
"2010.1014",5395.47687667735,1944.9236352106,8846.0301181441,118.311086521397,10672.6426668333
"2010.1041",5281.36248324636,1784.49126753836,8778.23369895435,-66.6405356176906,10629.3655021104
"2010.1068",4824.53068276418,1281.94703148682,8367.11433404153,-593.383473326304,10242.4448388547
"2010.1096",4754.60638844675,1166.89269399621,8342.3200828973,-732.328212562471,10241.540989456
"2010.1123",5033.14921021801,1400.86615676548,8665.43226367054,-521.948343267342,10588.2467637034
"2010.1151",4530.31828488585,854.006164370392,8206.63040540131,-1092.1159158608,10152.7524856325
"2010.1178",4705.04274345299,985.222662521752,8424.86282438423,-983.931140712081,10394.0166276181
"2010.1205",4893.22843097324,1130.40342022005,8656.05344172642,-861.515817705317,10647.9726796518
"2010.1233",5027.41994064515,1222.07597608687,8832.76390520344,-792.351436366624,10847.1913176569
"2010.1260",4945.26410810288,1097.87105362422,8792.65716258153,-938.815802441526,10829.3440186473
"2010.1288",4875.57117876241,986.583657221487,8764.55870030334,-1072.12197965278,10823.2643371776
"2010.1315",4798.22579832327,868.083998114086,8728.36759853244,-1212.40739790869,10808.8589945552
"2010.1342",5196.1012373198,1225.23166041327,9166.97081422634,-876.819718252744,11269.0221928924
"2010.1370",5291.31044748343,1280.12660429545,9302.49429067142,-843.265857822325,11425.8867527892
"2010.1397",5240.74667628341,1189.64973213325,9291.84362043356,-954.871449344213,11436.364801911
"2010.1425",5064.93883772372,974.318215134386,9155.55946031306,-1191.12553787154,11321.003213319
"2010.1452",4866.30420781522,736.538148459848,8996.07026717059,-1449.6279470277,11182.2363626581
"2010.1479",5249.57580786504,1081.03189757046,9418.11971815963,-1125.66195221618,11624.8135679463
"2010.1507",5018.86436618291,811.900026055399,9225.82870631041,-1415.13237072582,11452.8611030916
"2010.1534",4557.12171795526,312.084664388484,8802.15877152204,-1935.10220944733,11049.3456453579
"2010.1562",5441.84576674867,1159.0744428037,9724.61709069364,-1108.08774715248,11991.7792806498
"2010.1589",5197.0744366106,876.898417018836,9517.25045620237,-1410.06462273362,11804.2134959548
"2010.1616",5039.55934525291,682.299717079917,9396.81897342589,-1624.29419924361,11703.4128897494
