"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1826",6046.25866889365,4796.88146587337,7295.63587191392,4135.501125568,7957.01621221929
"1827",6095.89748807914,4309.98122352197,7881.81375263631,3364.5742607934,8827.22071536487
"1828",6145.53630726463,3934.65199368638,8356.42062084288,2764.28053488649,9526.79207964278
"1829",6195.17512645013,3614.75238583022,8775.59786707003,2248.75910037791,10141.5911525223
"1830",6244.81394563562,3328.7600447895,9160.86784648174,1785.09435549399,10704.5335357772
"1831",6294.45276482111,3065.73917450504,9523.16635513719,1356.56144343263,11232.3440862096
"1832",6344.09158400661,2819.24830295853,9868.93486505468,953.308982866096,11734.8741851471
"1833",6393.7304031921,2585.12261475339,10202.3381916308,568.967438303946,12218.4933680803
"1834",6443.36922237759,2360.48901700665,10526.2494277485,199.142793363056,12687.5956513921
"1835",6493.00804156309,2143.26812162428,10842.7479615019,-159.345101615613,13145.3611847418
"1836",6542.64686074858,1931.89806879052,11153.3956527066,-508.884905091129,13594.1786265883
"1837",6592.28567993408,1725.17034955858,11459.4010103096,-851.324872002579,14035.8962318707
"1838",6641.92449911957,1522.12675335734,11761.7222448818,-1188.13045895702,14471.9794571962
"1839",6691.56331830506,1321.99178662468,12061.1348499854,-1520.48768101062,14903.6143176207
"1840",6741.20213749056,1124.12672477139,12358.2775502097,-1849.3733831258,15331.7776581069
"1841",6790.84095667605,927.997412377899,12653.6845009742,-2175.60448552073,15757.2863988728
"1842",6840.47977586154,733.151108807677,12947.8084429154,-2499.87339524775,16180.8329469708
"1843",6890.11859504704,539.199464077181,13241.0377260169,-2822.77404235354,16603.0112324476
"1844",6939.75741423253,345.80575716989,13533.7090712952,-3144.82139719353,17024.3362256586
"1845",6989.39623341803,152.675165199721,13826.1173016363,-3466.46635246225,17445.2588192983
"1846",7039.03505260352,-40.4527693433392,14118.5228745504,-3788.10724354691,17866.1773487539
"1847",7088.67387178901,-233.810049012091,14411.1577925901,-4110.09888773311,18287.4466313111
"1848",7138.31269097451,-427.6049154928,14704.2302974418,-4432.75976319693,18709.3851451459
"1849",7187.95151016,-622.025618801598,14997.9286391216,-4756.37777349342,19132.2807938134
"1850",7237.59032934549,-817.243474151986,15292.424132843,-5081.21492263202,19556.395581323
"1851",7287.22914853099,-1013.41536379767,15587.8736608596,-5407.51114131498,19981.969438377
"1852",7336.86796771648,-1210.68580180742,15884.4217372404,-5735.48744473796,20409.2233801709
"1853",7386.50678690197,-1409.18865129763,16182.2022251016,-6065.34855887069,20838.3621326746
"1854",7436.14560608747,-1609.04856282797,16481.3397750029,-6397.28512029322,21269.5763324682
"1855",7485.78442527296,-1810.38218722808,16781.951037774,-6731.47553105428,21703.0443816002
"1856",7535.42324445845,-2013.299204547,17084.1456934639,-7068.08753231369,22138.9340212306
"1857",7585.06206364395,-2217.90320204345,17388.0273293313,-7407.27954711252,22577.4036744004
"1858",7634.70088282944,-2424.29242742001,17693.6941930789,-7749.20183234549,23018.6035980044
"1859",7684.33970201494,-2632.56043831894,18001.2398423488,-8093.99747207898,23462.6768761088
"1860",7733.97852120043,-2842.79666505706,18310.7537074579,-8441.80323817985,23909.7602805807
"1861",7783.61734038592,-3055.08690040625,18622.3215811781,-8792.75033937006,24359.9850201419
"1862",7833.25615957142,-3269.51372771676,18936.0260468596,-9146.96507598473,24813.4773951276
"1863",7882.89497875691,-3486.1568966823,19251.9468541961,-9504.5694146553,25270.3593721691
"1864",7932.5337979424,-3705.09365444332,19570.1612503281,-9865.68149468823,25730.749090573
"1865",7982.1726171279,-3926.39903843191,19890.7442726877,-10230.4160759327,26194.7613101885
"1866",8031.81143631339,-4150.14613631241,20213.7690089392,-10598.8849363255,26662.5078089523
"1867",8081.45025549888,-4376.40631751545,20539.3068285132,-10971.1972259917,27134.0977369895
"1868",8131.08907468438,-4605.24944016041,20867.4275895292,-11347.4597837052,27609.6379330739
"1869",8180.72789386987,-4836.74403658203,21198.1998243218,-11727.7774206273,28089.233208367
"1870",8230.36671305537,-5070.9574801971,21531.6909063078,-12112.2531755072,28572.986601618
"1871",8280.00553224086,-5307.95613604741,21867.9672005291,-12500.9885449178,29060.9996093995
"1872",8329.64435142635,-5547.80549702183,22207.0941998745,-12894.0836915891,29553.3723944418
"1873",8379.28317061185,-5790.57030747971,22549.1366487034,-13291.6376334738,30050.2039746975
"1874",8428.92198979734,-6036.31467576228,22894.158655357,-13693.7484158192,30551.5923954139
"1875",8478.56080898283,-6285.10217687877,23242.2237948444,-14100.5132682114,31057.6348861771
"1876",8528.19962816833,-6536.99594648489,23593.3952028215,-14512.0287483034,31568.4280046401
"1877",8577.83844735382,-6792.05876712678,23947.7356618344,-14928.3908737137,32084.0677684213
"1878",8627.47726653932,-7050.35314760069,24305.3076806793,-15349.6952433964,32604.649776475
"1879",8677.11608572481,-7311.94139617249,24666.1735676221,-15776.037149621,33130.2693210706
"1880",8726.7549049103,-7576.88568831092,25030.3954981315,-16207.5116815611,33661.0214913817
"1881",8776.3937240958,-7845.24812950977,25398.0355777014,-16644.213821373,34197.0012695646
"1882",8826.03254328129,-8117.09081370661,25769.1559002692,-17086.2385335394,34738.303620102
"1883",8875.67136246678,-8392.47587774721,26143.8186026808,-17533.6808481652,35285.0235730987
"1884",8925.31018165228,-8671.46555229337,26522.0859155979,-17986.6359388346,35837.2563021391
