"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2011.0027",5434.7125974853,4717.859095455,6151.56609951561,4338.37977409731,6531.0454208733
"2011.0055",5434.7125974853,4420.97936587496,6448.44582909565,3884.34140891487,6985.08378605574
"2011.0082",5434.7125974853,4193.16872537719,6676.25646959341,3535.93509997257,7333.49009499803
"2011.0110",5434.7125974853,4001.1131737036,6868.31202126701,3242.21148054782,7627.21371442279
"2011.0137",5434.7125974853,3831.90773432657,7037.51746064404,2983.43409219801,7885.9911027726
"2011.0164",5434.7125974853,3678.93369601071,7190.4914989599,2749.48048960432,8119.94470536629
"2011.0192",5434.7125974853,3538.25915161289,7331.16604335772,2534.33733971152,8335.08785525909
"2011.0219",5434.7125974853,3407.32220738787,7462.10298758273,2334.08656414659,8535.33863082402
"2011.0247",5434.7125974853,3284.34334655247,7585.08184841814,2146.00662684439,8723.41856812621
"2011.0274",5434.7125974853,3168.02690316077,7701.39829180984,1968.11597773841,8901.3092172322
"2011.0301",5434.7125974853,3057.39474781658,7812.03044715403,1798.91869700745,9070.50649796316
"2011.0329",5434.7125974853,2951.68696736153,7917.73822760908,1637.25259776662,9232.17259720399
"2011.0356",5434.7125974853,2850.29924019324,8019.12595477736,1482.19344988149,9387.23174508912
"2011.0384",5434.7125974853,2752.74158294252,8116.68361202809,1332.99188845522,9536.43330651538
"2011.0411",5434.7125974853,2658.61017784267,8210.81501712794,1189.03032750824,9680.39486746237
"2011.0438",5434.7125974853,2567.56754258422,8301.85765238639,1049.79263238799,9819.63256258262
"2011.0466",5434.7125974853,2479.32820838432,8390.09698658629,914.84221626634,9954.58297870427
"2011.0493",5434.7125974853,2393.64814423216,8475.77705073844,783.805865918666,10085.6193290519
"2011.0521",5434.7125974853,2310.31679503999,8559.10839993061,656.361565126623,10213.063629844
"2011.0548",5434.7125974853,2229.15098493815,8640.27421003246,532.229170572503,10337.1960243981
"2011.0575",5434.7125974853,2149.99017795973,8719.43501701088,411.16316368194,10458.2620312887
"2011.0603",5434.7125974853,2072.69274405909,8796.73245091151,292.946939992004,10576.4782549786
"2011.0630",5434.7125974853,1997.13298148657,8872.29221348404,177.388255266258,10692.0369397044
"2011.0658",5434.7125974853,1923.19871628989,8946.22647868072,64.3155542490849,10805.1096407215
"2011.0685",5434.7125974853,1850.78934784307,9018.63584712753,-46.425018440038,10915.8502134106
"2011.0712",5434.7125974853,1779.81424310879,9089.61095186182,-154.972074070252,11024.3972690409
"2011.0740",5434.7125974853,1710.19140646998,9159.23378850063,-261.451014116329,11130.8762090869
"2011.0767",5434.7125974853,1641.84636944348,9227.57882552713,-365.975728295179,11235.4009232658
"2011.0795",5434.7125974853,1574.7112574184,9294.71393755221,-468.650021866262,11338.0752168369
"2011.0822",5434.7125974853,1508.72400009785,9360.70119487276,-569.568823156869,11438.9940181275
"2011.0849",5434.7125974853,1443.82765949043,9425.59753548018,-668.819211310338,11538.2444062809
"2011.0877",5434.7125974853,1379.96985474411,9489.4553402265,-766.481295926804,11635.9064908974
"2011.0904",5434.7125974853,1317.1022672925,9552.3229276781,-862.628973876617,11732.0541688472
"2011.0932",5434.7125974853,1255.18021301829,9614.24498195232,-957.33058361997,11826.7557785906
"2011.0959",5434.7125974853,1194.16227066373,9675.26292430688,-1050.64947350394,11920.0746684745
"2011.0986",5434.7125974853,1134.00995770601,9735.4152372646,-1142.64449746836,12012.069692439
"2011.1014",5434.7125974853,1074.68744649103,9794.73774847958,-1233.37044918176,12102.7956441524
"2011.1041",5434.7125974853,1016.16131467771,9853.2638802929,-1322.87844370386,12192.3036386745
"2011.1068",5434.7125974853,958.400325056278,9911.02486991433,-1411.21625422441,12280.641449195
"2011.1096",5434.7125974853,901.375230622261,9968.04996434835,-1498.42861017684,12367.8538051474
"2011.1123",5434.7125974853,845.058601453055,10024.3665935176,-1584.55746200766,12453.9826569783
"2011.1151",5434.7125974853,789.424670478752,10080.0005244919,-1669.64221704963,12539.0674120202
"2011.1178",5434.7125974853,734.449195686329,10134.9759992843,-1753.7199502623,12623.1451452329
"2011.1205",5434.7125974853,680.109336666488,10189.3158583041,-1836.82559303729,12706.2507880079
"2011.1233",5434.7125974853,626.383543719645,10243.041651251,-1918.99210279604,12788.4172977666
"2011.1260",5434.7125974853,573.251457993906,10296.1737369767,-2000.25061571564,12869.6758106863
"2011.1288",5434.7125974853,520.6938213426,10348.731373628,-2080.6305845898,12950.0557795604
"2011.1315",5434.7125974853,468.692394769543,10400.7328002011,-2160.15990355605,13029.5850985267
"2011.1342",5434.7125974853,417.229884482785,10452.1953104878,-2238.86502118681,13108.2902161574
"2011.1370",5434.7125974853,366.289874706829,10503.1353202638,-2316.77104324419,13186.1962382148
"2011.1397",5434.7125974853,315.856766513386,10553.5684284572,-2393.90182623033,13263.3270212009
"2011.1425",5434.7125974853,265.915722024512,10603.5094729461,-2470.28006272127,13339.7052576919
"2011.1452",5434.7125974853,216.452613422485,10652.9725815481,-2545.92735934969,13415.3525543203
"2011.1479",5434.7125974853,167.453976269773,10701.9712187008,-2620.86430819579,13490.2895031664
"2011.1507",5434.7125974853,118.90696670201,10750.5182282686,-2695.11055225504,13564.5357472257
"2011.1534",5434.7125974853,70.7993221083234,10798.6258728623,-2768.68484557239,13638.110040543
"2011.1562",5434.7125974853,23.1193249579364,10846.3058700127,-2841.60510856471,13711.0303035353
"2011.1589",5434.7125974853,-24.1442305292849,10893.5694254999,-2913.88847899381,13783.3136739644
"2011.1616",5434.7125974853,-71.0020691369637,10940.4272641076,-2985.55135900084,13854.9765539714
