"","Point.Forecast","Lo.0.95","Hi.0.95"
"2011.0027",5434.625,NA,NA
"2011.0055",5434.625,NA,NA
"2011.0082",5434.625,NA,NA
"2011.0110",5434.625,NA,NA
"2011.0137",5434.625,NA,NA
"2011.0164",5434.625,NA,NA
"2011.0192",5434.625,NA,NA
"2011.0219",5434.625,NA,NA
"2011.0247",5434.625,NA,NA
"2011.0274",5434.625,NA,NA
"2011.0301",5434.625,NA,NA
"2011.0329",5434.625,NA,NA
"2011.0356",5434.625,NA,NA
"2011.0384",5434.625,NA,NA
"2011.0411",5434.625,NA,NA
"2011.0438",5434.625,NA,NA
"2011.0466",5434.625,NA,NA
"2011.0493",5434.625,NA,NA
"2011.0521",5434.625,NA,NA
"2011.0548",5434.625,NA,NA
"2011.0575",5434.625,NA,NA
"2011.0603",5434.625,NA,NA
"2011.0630",5434.625,NA,NA
"2011.0658",5434.625,NA,NA
"2011.0685",5434.625,NA,NA
"2011.0712",5434.625,NA,NA
"2011.0740",5434.625,NA,NA
"2011.0767",5434.625,NA,NA
"2011.0795",5434.625,NA,NA
"2011.0822",5434.625,NA,NA
"2011.0849",5434.625,NA,NA
"2011.0877",5434.625,NA,NA
"2011.0904",5434.625,NA,NA
"2011.0932",5434.625,NA,NA
"2011.0959",5434.625,NA,NA
"2011.0986",5434.625,NA,NA
"2011.1014",5434.625,NA,NA
"2011.1041",5434.625,NA,NA
"2011.1068",5434.625,NA,NA
"2011.1096",5434.625,NA,NA
"2011.1123",5434.625,NA,NA
"2011.1151",5434.625,NA,NA
"2011.1178",5434.625,NA,NA
"2011.1205",5434.625,NA,NA
"2011.1233",5434.625,NA,NA
"2011.1260",5434.625,NA,NA
"2011.1288",5434.625,NA,NA
"2011.1315",5434.625,NA,NA
"2011.1342",5434.625,NA,NA
"2011.1370",5434.625,NA,NA
"2011.1397",5434.625,NA,NA
"2011.1425",5434.625,NA,NA
"2011.1452",5434.625,NA,NA
"2011.1479",5434.625,NA,NA
"2011.1507",5434.625,NA,NA
"2011.1534",5434.625,NA,NA
"2011.1562",5434.625,NA,NA
"2011.1589",5434.625,NA,NA
"2011.1616",5434.625,NA,NA
