"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2011.0027",4272.625,2886.62968643002,5658.62031356998,2152.92808699747,6392.32191300253
"2011.0055",6384.875,4998.87968643002,7770.87031356998,4265.17808699747,8504.57191300253
"2011.0082",7544.83333333333,6158.83801976336,8930.82864690331,5425.1364203308,9664.53024633586
"2011.0110",6664.58333333333,5278.58801976336,8050.57864690331,4544.8864203308,8784.28024633586
"2011.0137",6549.95833333333,5163.96301976336,7935.95364690331,4430.2614203308,8669.65524633586
"2011.0164",6152.41666666667,4766.42135309669,7538.41198023664,4032.71975366414,8272.1135796692
"2011.0192",5818.45833333333,4432.46301976336,7204.45364690331,3698.7614203308,7938.15524633586
"2011.0219",5443.66666666667,4057.67135309669,6829.66198023664,3323.96975366414,7563.3635796692
"2011.0247",6758.79166666667,5372.79635309669,8144.78698023664,4639.09475366414,8878.4885796692
"2011.0274",7016.33333333333,5630.33801976336,8402.32864690331,4896.6364203308,9136.03024633586
"2011.0301",6621.41666666667,5235.42135309669,8007.41198023664,4501.71975366414,8741.1135796692
"2011.0329",5577.83333333333,4191.83801976336,6963.82864690331,3458.1364203308,7697.53024633586
"2011.0356",5999.29166666667,4613.29635309669,7385.28698023664,3879.59475366414,8118.9885796692
"2011.0384",5234.54166666667,3848.54635309669,6620.53698023664,3114.84475366414,7354.2385796692
"2011.0411",4771.95833333333,3385.96301976336,6157.95364690331,2652.2614203308,6891.65524633586
"2011.0438",4468.625,3082.62968643002,5854.62031356998,2348.92808699747,6588.32191300253
"2011.0466",3259.66666666667,1873.67135309669,4645.66198023664,1139.96975366413,5379.3635796692
"2011.0493",3184.70833333333,1798.71301976336,4570.70364690331,1065.0114203308,5304.40524633587
"2011.0521",3432.625,2046.62968643002,4818.62031356998,1312.92808699747,5552.32191300253
"2011.0548",3417.16666666667,2031.17135309669,4803.16198023664,1297.46975366413,5536.8635796692
"2011.0575",4400.375,3014.37968643002,5786.37031356998,2280.67808699747,6520.07191300253
"2011.0603",4036.66666666667,2650.67135309669,5422.66198023664,1916.96975366413,6156.3635796692
"2011.0630",4842.25,3456.25468643002,6228.24531356998,2722.55308699747,6961.94691300253
"2011.0658",3465.58333333333,2079.58801976336,4851.57864690331,1345.8864203308,5585.28024633587
"2011.0685",2610.125,1224.12968643002,3996.12031356998,490.428086997468,4729.82191300253
"2011.0712",3499.125,2113.12968643002,4885.12031356998,1379.42808699747,5618.82191300253
"2011.0740",4280.79166666667,2894.79635309669,5666.78698023664,2161.09475366414,6400.4885796692
"2011.0767",4118.04166666667,2732.04635309669,5504.03698023664,1998.34475366414,6237.7385796692
"2011.0795",5060.125,3674.12968643002,6446.12031356998,2940.42808699747,7179.82191300253
"2011.0822",7213.79166666667,5827.79635309669,8599.78698023664,5094.09475366414,9333.4885796692
"2011.0849",7137.95833333333,5751.96301976336,8523.95364690331,5018.2614203308,9257.65524633586
"2011.0877",6139,4753.00468643002,7524.99531356998,4019.30308699747,8258.69691300253
"2011.0904",5612.54166666667,4226.54635309669,6998.53698023664,3492.84475366414,7732.2385796692
"2011.0932",4669.875,3283.87968643002,6055.87031356998,2550.17808699747,6789.57191300253
"2011.0959",4914.58333333333,3528.58801976336,6300.57864690331,2794.8864203308,7034.28024633586
"2011.0986",4897.375,3511.37968643002,6283.37031356998,2777.67808699747,7017.07191300253
"2011.1014",5071.20833333333,3685.21301976336,6457.20364690331,2951.5114203308,7190.90524633586
"2011.1041",6045.66666666667,4659.67135309669,7431.66198023664,3925.96975366414,8165.3635796692
"2011.1068",5893.125,4507.12968643002,7279.12031356998,3773.42808699747,8012.82191300253
"2011.1096",5352.66666666667,3966.67135309669,6738.66198023664,3232.96975366414,7472.3635796692
"2011.1123",5336.91666666667,3950.92135309669,6722.91198023664,3217.21975366414,7456.6135796692
"2011.1151",5072.66666666667,3686.67135309669,6458.66198023664,2952.96975366414,7192.3635796692
"2011.1178",5323.79166666667,3937.79635309669,6709.78698023664,3204.09475366414,7443.4885796692
"2011.1205",6356.875,4970.87968643002,7742.87031356998,4237.17808699747,8476.57191300253
"2011.1233",5851.125,4465.12968643002,7237.12031356998,3731.42808699747,7970.82191300253
"2011.1260",4570.70833333333,3184.71301976336,5956.70364690331,2451.0114203308,6690.40524633586
"2011.1288",4905.83333333333,3519.83801976336,6291.82864690331,2786.1364203308,7025.53024633586
"2011.1315",5278.58333333333,3892.58801976336,6664.57864690331,3158.8864203308,7398.28024633586
"2011.1342",4719.45833333333,3333.46301976336,6105.45364690331,2599.7614203308,6839.15524633586
"2011.1370",4302.95833333333,2916.96301976336,5688.95364690331,2183.2614203308,6422.65524633586
"2011.1397",4392.79166666667,3006.79635309669,5778.78698023664,2273.09475366414,6512.4885796692
"2011.1425",4053.875,2667.87968643002,5439.87031356998,1934.17808699747,6173.57191300253
"2011.1452",3465.29166666667,2079.29635309669,4851.28698023664,1345.59475366413,5584.9885796692
"2011.1479",3373.125,1987.12968643002,4759.12031356998,1253.42808699747,5492.82191300253
"2011.1507",4294.5,2908.50468643002,5680.49531356998,2174.80308699747,6414.19691300253
"2011.1534",4818.625,3432.62968643002,6204.62031356998,2698.92808699747,6938.32191300253
"2011.1562",5044.08333333333,3658.08801976336,6430.07864690331,2924.3864203308,7163.78024633586
"2011.1589",4500.41666666667,3114.42135309669,5886.41198023664,2380.71975366414,6620.1135796692
"2011.1616",4592,3206.00468643002,5977.99531356998,2472.30308699747,6711.69691300253
